step,checkpoint,agent,sims,num_games,a_win_rate,b_win_rate,draw_rate,mean_a_score,mean_b_score,mean_margin,ci95
2500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002500,greedy,,256,0.262,0.738,0.0,134.04,165.19,-31.15,0.05386602338209124
2600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002600,greedy,,256,0.27,0.727,0.004,134.07,166.03,-31.96,0.05438503355703663
2700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002700,greedy,,256,0.34,0.648,0.012,144.0,165.21,-21.2,0.05802932448340235
2800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002800,greedy,,256,0.402,0.594,0.004,154.07,166.72,-12.65,0.06006198860344203
2900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002900,greedy,,256,0.406,0.578,0.016,154.61,167.04,-12.43,0.06015785297864278
3000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003000,greedy,,256,0.414,0.578,0.008,153.29,166.3,-13.0,0.060337188159542206
3100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003100,greedy,,256,0.438,0.559,0.004,154.5,166.93,-12.43,0.06077728584759277
3200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003200,greedy,,256,0.406,0.582,0.012,153.63,166.79,-13.16,0.06015785297864278
3300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003300,greedy,,256,0.461,0.535,0.004,154.55,165.18,-10.63,0.06106339323809314
3400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003400,greedy,,256,0.441,0.555,0.004,155.62,166.76,-11.14,0.06082208269822729
3500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003500,greedy,,256,0.441,0.555,0.004,156.1,166.6,-10.5,0.06082208269822729
3600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003600,greedy,,256,0.43,0.562,0.008,154.52,165.96,-11.44,0.06064677959298416
3700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003700,greedy,,256,0.453,0.547,0.0,156.12,165.45,-9.33,0.06097879708349452
3800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003800,greedy,,256,0.457,0.535,0.008,158.09,164.62,-6.53,0.061023077140947256
3900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_003900,greedy,,256,0.434,0.547,0.02,157.31,164.46,-7.15,0.06071404512137204
4000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004000,greedy,,256,0.461,0.531,0.008,158.29,164.5,-6.21,0.06106339323809314
4100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004100,greedy,,256,0.508,0.484,0.008,159.77,163.89,-4.12,0.06124215949817576
4200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004200,greedy,,256,0.449,0.543,0.008,159.2,167.52,-8.31,0.06093054442354835
4300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004300,greedy,,256,0.473,0.52,0.008,158.5,164.2,-5.7,0.061160632303386135
4400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004400,greedy,,256,0.492,0.5,0.008,158.84,162.25,-3.41,0.06124215949817576
4500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004500,greedy,,256,0.496,0.492,0.012,159.92,163.66,-3.74,0.061248039968639
4600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004600,greedy,,256,0.477,0.52,0.004,158.93,163.45,-4.52,0.061185163183160675
4700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004700,greedy,,256,0.465,0.523,0.012,158.28,164.85,-6.57,0.06109975322167839
4800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004800,greedy,,256,0.445,0.551,0.004,156.54,164.29,-7.75,0.06087830971495513
4900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_004900,greedy,,256,0.461,0.527,0.012,159.12,165.37,-6.25,0.06106339323809314
5000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005000,greedy,,256,0.426,0.566,0.008,155.32,164.91,-9.59,0.06057547585450733
5100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005100,greedy,,256,0.434,0.562,0.004,156.36,165.41,-9.05,0.06071404512137204
5200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005200,greedy,,256,0.426,0.559,0.016,155.29,165.62,-10.32,0.06057547585450733
5300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005300,greedy,,256,0.449,0.543,0.008,155.62,163.1,-7.48,0.06093054442354835
5400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005400,greedy,,256,0.457,0.535,0.008,157.27,166.53,-9.26,0.061023077140947256
5500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005500,greedy,,256,0.398,0.59,0.012,157.27,168.1,-10.83,0.05996196690403009
5600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005600,greedy,,256,0.465,0.527,0.008,158.79,165.92,-7.13,0.06109975322167839
5700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005700,greedy,,256,0.422,0.566,0.012,156.25,166.48,-10.23,0.0605001196279809
5800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005800,greedy,,256,0.477,0.516,0.008,160.11,165.07,-4.96,0.061185163183160675
5900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_005900,greedy,,256,0.449,0.539,0.012,157.94,164.82,-6.88,0.06093054442354835
6000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006000,greedy,,256,0.43,0.562,0.008,158.3,164.9,-6.6,0.06064677959298416
6100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006100,greedy,,256,0.5,0.492,0.008,157.69,162.2,-4.51,0.06125
6200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006200,greedy,,256,0.504,0.48,0.016,160.09,162.76,-2.67,0.061248039968639
